customer_key;customer_number;customer_name;category;age;age_group;customer_segment;last_order_date;recency;total_orders;total_sales;total_quantity;total_products;lifespan;avg_order_value;avg_monthly_spend
63;AW00011062;Noah Powell;Bikes;44;40-49;New;07.01.2013;152;1;2295;1;1;0;2295.000000000000;2295.000000000000
68;AW00011067;Caleb Carter;Accessories;43;40-49;New;12.01.2014;140;2;81;5;5;5;40.500000000000;16.200000000000
76;AW00011075;Felicia Jimenez;Accessories;62;50 and above;New;24.06.2013;147;1;14;2;2;0;14.000000000000;14.000000000000
78;AW00011077;Leah Ye;Accessories;62;50 and above;New;12.06.2013;147;2;90;2;2;5;45.000000000000;18.000000000000
80;AW00011079;Donald Gonzalez;Accessories;55;50 and above;New;01.01.2014;140;3;49;4;4;10;16.333333333333;4.900000000000
85;AW00011084;Lucas Phillips;Accessories;62;50 and above;New;21.11.2013;142;2;16;3;3;10;8.000000000000;1.600000000000
87;AW00011086;Ryan Brown;Accessories;62;50 and above;New;21.12.2013;141;2;79;4;4;5;39.500000000000;15.800000000000
88;AW00011087;Tamara Liang;Accessories;62;50 and above;New;09.08.2013;145;2;200;4;4;6;100.000000000000;33.333333333333
89;AW00011088;Hunter Davis;Bikes;62;50 and above;New;12.11.2013;142;2;3062;2;2;10;1531.000000000000;306.200000000000
89;AW00011088;Hunter Davis;Clothing;62;50 and above;New;12.11.2013;142;2;78;2;2;10;39.000000000000;7.800000000000
93;AW00011092;Cheryl Diaz;Accessories;53;50 and above;New;21.06.2013;147;2;31;2;2;5;15.500000000000;6.200000000000
93;AW00011092;Cheryl Diaz;Bikes;53;50 and above;VIP;21.06.2013;147;3;8079;3;3;26;2693.000000000000;310.730769230769
101;AW00011100;Latasha Navarro;Accessories;59;50 and above;New;07.08.2013;145;2;69;3;3;5;34.500000000000;13.800000000000
105;AW00011104;Edgar Sara;Accessories;50;50 and above;New;22.01.2013;152;1;40;2;2;0;40.000000000000;40.000000000000
107;AW00011106;Jessie Liu;Bikes;55;50 and above;VIP;15.06.2013;147;3;8079;3;3;25;2693.000000000000;323.160000000000
110;AW00011109;Ruben Kapoor;Accessories;45;40-49;New;11.01.2013;152;1;182;4;4;0;182.000000000000;182.000000000000
113;AW00011112;Crystal Wang;Bikes;57;50 and above;VIP;02.09.2013;144;3;8079;3;3;28;2693.000000000000;288.535714285714
118;AW00011117;April Deng;Bikes;59;50 and above;VIP;25.06.2013;147;3;8104;3;3;25;2701.333333333333;324.160000000000
122;AW00011121;Orlando Suarez;Accessories;59;50 and above;New;04.11.2013;142;3;58;6;5;5;19.333333333333;11.600000000000
129;AW00011128;Samantha Long;Accessories;44;40-49;New;12.08.2013;145;2;94;6;6;2;47.000000000000;47.000000000000
145;AW00011144;Edward Hernandez;Accessories;40;40-49;New;25.01.2013;152;1;55;1;1;0;55.000000000000;55.000000000000
152;AW00011151;Melinda Gill;Accessories;78;50 and above;New;15.04.2013;149;1;24;2;2;0;24.000000000000;24.000000000000
156;AW00011155;Hunter Robinson;Bikes;44;40-49;New;06.01.2013;152;1;2320;1;1;0;2320.000000000000;2320.000000000000
159;AW00011158;Jason Wright;Bikes;44;40-49;New;19.01.2013;152;1;2320;1;1;0;2320.000000000000;2320.000000000000
169;AW00011168;David Rodriguez;Bikes;52;50 and above;New;16.11.2013;142;2;3037;2;2;10;1518.500000000000;303.700000000000
180;AW00011179;Molly Rodriguez;Clothing;66;50 and above;New;09.01.2014;140;1;24;1;1;0;24.000000000000;24.000000000000
188;AW00011187;Jennifer Cooper;Clothing;76;50 and above;New;03.04.2013;149;1;64;1;1;0;64.000000000000;64.000000000000
190;AW00011189;Lawrence Blanco;Bikes;75;50 and above;VIP;05.02.2013;151;2;5873;2;2;18;2936.500000000000;326.277777777777
190;AW00011189;Lawrence Blanco;Clothing;75;50 and above;New;05.02.2013;151;1;9;1;1;0;9.000000000000;9.000000000000
192;AW00011191;Kristi Perez;Clothing;74;50 and above;New;06.11.2013;142;1;63;2;2;0;63.000000000000;63.000000000000
198;AW00011197;Andrea Morris;Accessories;74;50 and above;New;20.07.2013;146;2;207;6;5;2;103.500000000000;103.500000000000
202;AW00011201;Amanda Foster;Clothing;72;50 and above;New;09.09.2013;144;1;50;1;1;0;50.000000000000;50.000000000000
211;AW00011210;Edward Wood;Accessories;72;50 and above;New;06.09.2013;144;2;46;4;4;4;23.000000000000;11.500000000000
218;AW00011217;Natalie Adams;Bikes;70;50 and above;VIP;14.02.2013;151;2;5898;2;2;18;2949.000000000000;327.666666666666
224;AW00011223;Hailey Patterson;Accessories;68;50 and above;Regular;06.01.2014;140;25;1034;57;19;12;41.360000000000;86.166666666666
226;AW00011225;Madison Lee;Accessories;63;50 and above;New;06.09.2013;144;2;64;4;4;3;32.000000000000;21.333333333333
239;AW00011238;Mayra Prasad;Accessories;61;50 and above;New;30.04.2013;149;3;84;4;4;3;28.000000000000;28.000000000000
239;AW00011238;Mayra Prasad;Clothing;61;50 and above;New;30.04.2013;149;1;9;1;1;0;9.000000000000;9.000000000000
249;AW00011248;Tristan Alexander;Clothing;59;50 and above;New;14.07.2013;146;1;24;1;1;0;24.000000000000;24.000000000000
252;AW00011251;Xavier Long;Accessories;87;50 and above;New;18.10.2013;143;1;15;2;2;0;15.000000000000;15.000000000000
255;AW00011254;Johnathan Vance;Clothing;87;50 and above;New;14.12.2013;141;2;88;2;2;1;44.000000000000;88.000000000000
260;AW00011259;Victoria Stewart;Bikes;55;50 and above;VIP;20.12.2013;141;3;6615;3;3;27;2205.000000000000;245.000000000000
268;AW00011267;David Diaz;Bikes;50;50 and above;VIP;07.01.2013;152;2;5873;2;2;16;2936.500000000000;367.062500000000
272;AW00011271;Danielle Reed;Accessories;56;50 and above;New;22.01.2013;152;1;75;3;3;0;75.000000000000;75.000000000000
272;AW00011271;Danielle Reed;Bikes;56;50 and above;VIP;22.01.2013;152;2;5898;2;2;16;2949.000000000000;368.625000000000
273;AW00011272;Lauren Martinez;Accessories;63;50 and above;New;13.01.2013;152;1;77;2;2;0;77.000000000000;77.000000000000
285;AW00011284;Theresa Serrano;Accessories;58;50 and above;New;02.05.2013;148;2;55;5;3;3;27.500000000000;18.333333333333
289;AW00011288;Cindy Sanchez;Accessories;47;40-49;New;21.08.2013;145;2;77;4;4;5;38.500000000000;15.400000000000
295;AW00011294;Dalton Clark;Accessories;64;50 and above;New;03.01.2014;140;2;42;3;3;4;21.000000000000;10.500000000000
299;AW00011298;Jon Luo;Clothing;85;50 and above;New;21.02.2013;151;1;9;1;1;0;9.000000000000;9.000000000000
302;AW00011301;Cameron Rodriguez;Clothing;60;50 and above;New;11.10.2013;143;1;54;1;1;0;54.000000000000;54.000000000000
317;AW00011316;Luke Allen;Bikes;66;50 and above;New;12.01.2013;152;1;2295;1;1;0;2295.000000000000;2295.000000000000
318;AW00011317;Victoria Russell;Bikes;62;50 and above;VIP;18.02.2013;151;2;5873;2;2;17;2936.500000000000;345.470588235294
329;AW00011328;Julian Griffin;Bikes;80;50 and above;New;07.04.2013;149;2;4704;2;2;3;2352.000000000000;1568.000000000000
341;AW00011340;Melody Munoz;Accessories;78;50 and above;New;02.01.2013;152;1;15;2;2;0;15.000000000000;15.000000000000
348;AW00011347;Roy Navarro;Accessories;53;50 and above;New;16.03.2013;150;1;14;2;2;0;14.000000000000;14.000000000000
357;AW00011356;Terrence Carson;Bikes;40;40-49;Regular;31.10.2013;143;3;4886;3;3;29;1628.666666666666;168.482758620689
358;AW00011357;Ramon Ye;Bikes;41;40-49;Regular;29.10.2013;143;3;4886;3;3;28;1628.666666666666;174.500000000000
362;AW00011361;Cindy Ramos;Accessories;43;40-49;New;01.10.2013;143;1;65;3;3;0;65.000000000000;65.000000000000
372;AW00011371;Lacey Jai;Accessories;42;40-49;New;28.12.2013;141;1;25;1;1;0;25.000000000000;25.000000000000
372;AW00011371;Lacey Jai;Clothing;42;40-49;New;07.11.2013;142;1;50;1;1;0;50.000000000000;50.000000000000
373;AW00011372;Wendy Romero;Accessories;42;40-49;New;14.12.2013;141;1;9;1;1;0;9.000000000000;9.000000000000
375;AW00011374;Jimmy Ortega;Accessories;77;50 and above;New;15.04.2013;149;1;69;3;3;0;69.000000000000;69.000000000000
379;AW00011378;Shannon Liang;Bikes;60;50 and above;New;14.02.2013;151;2;4391;2;2;4;2195.500000000000;1097.750000000000
380;AW00011379;Gary Vazquez;Accessories;49;40-49;New;26.02.2013;151;1;57;2;2;0;57.000000000000;57.000000000000
380;AW00011379;Gary Vazquez;Bikes;49;40-49;New;26.02.2013;151;2;4369;2;2;4;2184.500000000000;1092.250000000000
381;AW00011380;Mitchell Kumar;Accessories;61;50 and above;New;03.02.2013;151;1;143;4;4;0;143.000000000000;143.000000000000
382;AW00011381;Meredith Raman;Accessories;55;50 and above;New;18.08.2013;145;2;57;2;2;6;28.500000000000;9.500000000000
384;AW00011383;Marie Gill;Accessories;59;50 and above;New;01.01.2014;140;1;49;3;3;0;49.000000000000;49.000000000000
394;AW00011393;Kurt Pal;Accessories;51;50 and above;New;16.07.2013;146;1;14;2;2;0;14.000000000000;14.000000000000
395;AW00011394;George McDonald;Accessories;50;50 and above;New;02.08.2013;145;2;58;4;4;6;29.000000000000;9.666666666666
403;AW00011402;Kelli Cai;Accessories;50;50 and above;New;02.04.2013;149;2;119;6;5;4;59.500000000000;29.750000000000
405;AW00011404;Megan Taylor;Accessories;68;50 and above;New;10.02.2013;151;1;34;2;2;0;34.000000000000;34.000000000000
410;AW00011409;Jacqueline Hayes;Accessories;46;40-49;New;28.01.2013;152;1;75;3;3;0;75.000000000000;75.000000000000
411;AW00011410;Maurice Goel;Accessories;NULL;50 and above;New;04.02.2013;151;1;70;2;2;0;70.000000000000;70.000000000000
415;AW00011414;Ian Richardson;Bikes;66;50 and above;VIP;15.09.2013;144;4;7002;4;4;25;1750.500000000000;280.080000000000
425;AW00011424;Pamela Garcia;Accessories;61;50 and above;New;21.04.2013;149;1;35;1;1;0;35.000000000000;35.000000000000
431;AW00011430;Casey Yuan;Accessories;68;50 and above;New;19.03.2013;150;1;35;1;1;0;35.000000000000;35.000000000000
433;AW00011432;Dominique Prasad;Accessories;68;50 and above;New;25.12.2013;141;5;185;9;8;10;37.000000000000;18.500000000000
433;AW00011432;Dominique Prasad;Clothing;68;50 and above;New;08.09.2013;144;1;50;1;1;0;50.000000000000;50.000000000000
440;AW00011439;Janet Munoz;Accessories;72;50 and above;New;20.10.2013;143;5;169;8;6;9;33.800000000000;18.777777777777
444;AW00011443;Grace Griffin;Accessories;44;40-49;New;01.10.2013;143;2;127;4;4;6;63.500000000000;21.166666666666
445;AW00011444;Tina Mehta;Accessories;44;40-49;New;24.01.2013;152;1;57;2;2;0;57.000000000000;57.000000000000
450;AW00011449;Alvin Hu;Bikes;45;40-49;VIP;24.06.2013;147;3;8079;3;3;24;2693.000000000000;336.625000000000
451;AW00011450;Brett Mehta;Clothing;44;40-49;New;17.06.2013;147;1;9;1;1;0;9.000000000000;9.000000000000
452;AW00011451;Ruben Mu├▒oz;Accessories;45;40-49;New;05.06.2013;147;2;107;5;5;5;53.500000000000;21.400000000000
452;AW00011451;Ruben Mu├▒oz;Bikes;45;40-49;VIP;05.06.2013;147;3;8079;3;3;23;2693.000000000000;351.260869565217
452;AW00011451;Ruben Mu├▒oz;Clothing;45;40-49;New;05.06.2013;147;1;64;1;1;0;64.000000000000;64.000000000000
457;AW00011456;Jon Gao;Accessories;45;40-49;New;31.05.2013;148;2;121;7;6;4;60.500000000000;30.250000000000
458;AW00011457;Jaime Gutierrez;Accessories;47;40-49;New;01.06.2013;147;2;29;4;3;4;14.500000000000;7.250000000000
459;AW00011458;Bianca Liu;Accessories;47;40-49;New;18.01.2014;140;3;88;6;6;10;29.333333333333;8.800000000000
460;AW00011459;Tasha Deng;Bikes;47;40-49;VIP;18.06.2013;147;3;8104;3;3;23;2701.333333333333;352.347826086956
462;AW00011461;Victor Jimenez;Accessories;48;40-49;New;21.07.2013;146;1;35;1;1;0;35.000000000000;35.000000000000
471;AW00011470;Jay Suarez;Bikes;46;40-49;Regular;21.02.2013;151;2;4344;2;1;13;2172.000000000000;334.153846153846
483;AW00011482;Adrienne Torres;Accessories;47;40-49;New;10.09.2013;144;2;64;2;2;7;32.000000000000;9.142857142857
490;AW00011489;Deborah Goel;Bikes;49;40-49;VIP;28.09.2013;144;3;8079;3;3;23;2693.000000000000;351.260869565217
494;AW00011493;Dawn Wu;Accessories;49;40-49;New;12.09.2013;144;2;49;3;3;7;24.500000000000;7.000000000000
500;AW00011499;Pedro Vance;Accessories;45;40-49;New;29.06.2013;147;2;192;6;6;2;96.000000000000;96.000000000000
504;AW00011503;Dennis Wu;Clothing;89;50 and above;New;26.05.2013;148;1;24;1;1;0;24.000000000000;24.000000000000
511;AW00011510;Seth Roberts;Accessories;66;50 and above;New;26.12.2013;141;4;141;11;9;9;35.250000000000;15.666666666666
514;AW00011513;Alyssa Howard;Accessories;60;50 and above;New;08.06.2013;147;1;70;3;3;0;70.000000000000;70.000000000000
514;AW00011513;Alyssa Howard;Clothing;60;50 and above;New;08.06.2013;147;1;24;1;1;0;24.000000000000;24.000000000000
516;AW00011515;Shannon Huang;Accessories;66;50 and above;New;20.04.2013;149;1;57;2;2;0;57.000000000000;57.000000000000
521;AW00011520;Jada Morgan;Accessories;65;50 and above;New;24.12.2013;141;12;312;18;13;10;26.000000000000;31.200000000000
523;AW00011522;Christian Hughes;Accessories;53;50 and above;New;01.02.2013;151;1;15;2;2;0;15.000000000000;15.000000000000
531;AW00011530;Andrew Martinez;Clothing;62;50 and above;New;30.12.2013;141;7;249;8;5;11;35.571428571428;22.636363636363
532;AW00011531;Nina Yuan;Accessories;63;50 and above;New;08.02.2013;151;1;2;1;1;0;2.000000000000;2.000000000000
547;AW00011546;Christine Chande;Accessories;52;50 and above;New;12.03.2013;150;1;15;2;2;0;15.000000000000;15.000000000000
553;AW00011552;Eddie Rubio;Accessories;53;50 and above;New;06.01.2014;140;1;35;1;1;0;35.000000000000;35.000000000000
563;AW00011562;Jarrod Gonzalez;Accessories;NULL;50 and above;New;26.06.2013;147;1;35;1;1;0;35.000000000000;35.000000000000
571;AW00011570;Kristin Andersen;Bikes;54;50 and above;Regular;14.03.2013;150;2;4391;2;2;12;2195.500000000000;365.916666666666
579;AW00011578;Trisha Huang;Bikes;55;50 and above;New;12.03.2013;150;2;4391;2;2;4;2195.500000000000;1097.750000000000
590;AW00011589;Ebony Malhotra;Accessories;50;50 and above;New;04.06.2013;147;1;15;2;2;0;15.000000000000;15.000000000000
593;AW00011592;Darrell Raji;Accessories;41;40-49;New;12.05.2013;148;1;2;1;1;0;2.000000000000;2.000000000000
605;AW00011604;Edgar Sanchez;Bikes;43;40-49;VIP;16.10.2013;143;3;6753;3;3;21;2251.000000000000;321.571428571428
607;AW00011606;Melody Ramos;Accessories;39;30-39;New;28.06.2013;147;1;15;2;2;0;15.000000000000;15.000000000000
614;AW00011613;Meredith Prasad;Accessories;44;40-49;New;24.04.2013;149;1;15;2;2;0;15.000000000000;15.000000000000
616;AW00011615;Dwayne Navarro;Accessories;44;40-49;New;13.04.2013;149;2;72;4;4;4;36.000000000000;18.000000000000
622;AW00011621;Leah She;Accessories;47;40-49;New;30.10.2013;143;2;64;4;4;2;32.000000000000;32.000000000000
624;AW00011623;Angela Perry;Accessories;47;40-49;New;26.04.2013;149;1;75;3;3;0;75.000000000000;75.000000000000
624;AW00011623;Angela Perry;Bikes;47;40-49;VIP;26.04.2013;149;2;5873;2;2;19;2936.500000000000;309.105263157894
630;AW00011629;Isaiah Wright;Accessories;49;40-49;New;18.04.2013;149;1;57;2;2;0;57.000000000000;57.000000000000
636;AW00011635;Darrell Chande;Accessories;42;40-49;New;21.09.2013;144;2;42;3;3;7;21.000000000000;6.000000000000
644;AW00011643;Naomi Munoz;Clothing;49;40-49;New;21.04.2013;149;1;50;1;1;0;50.000000000000;50.000000000000
648;AW00011647;Randy Wu;Clothing;50;50 and above;New;15.02.2013;151;1;9;1;1;0;9.000000000000;9.000000000000
653;AW00011652;Samuel Russell;Clothing;43;40-49;New;16.12.2013;141;2;142;4;3;4;71.000000000000;35.500000000000
662;AW00011661;Jeremiah James;Clothing;44;40-49;New;14.12.2013;141;2;129;3;3;2;64.500000000000;64.500000000000
665;AW00011664;Alyssa Morgan;Bikes;50;50 and above;VIP;21.02.2013;151;2;5873;2;2;16;2936.500000000000;367.062500000000
670;AW00011669;Isabella Simmons;Clothing;47;40-49;New;18.08.2013;145;1;63;2;2;0;63.000000000000;63.000000000000
675;AW00011674;Morgan Rogers;Clothing;53;50 and above;New;30.05.2013;148;1;54;1;1;0;54.000000000000;54.000000000000
676;AW00011675;Devin Martinez;Bikes;48;40-49;VIP;09.02.2013;151;2;5898;2;2;16;2949.000000000000;368.625000000000
681;AW00011680;Kaylee Nelson;Clothing;50;50 and above;New;19.01.2014;140;1;54;1;1;0;54.000000000000;54.000000000000
687;AW00011686;Luke Edwards;Accessories;49;40-49;New;24.04.2013;149;1;75;3;3;0;75.000000000000;75.000000000000
690;AW00011689;Ian Diaz;Accessories;54;50 and above;New;02.09.2013;144;1;35;1;1;0;35.000000000000;35.000000000000
695;AW00011694;Jonathon Ortega;Accessories;56;50 and above;New;11.04.2013;149;1;75;3;3;0;75.000000000000;75.000000000000
702;AW00011701;David Hayes;Accessories;40;40-49;New;04.05.2013;148;1;75;3;3;0;75.000000000000;75.000000000000
704;AW00011703;Kaylee Baker;Clothing;52;50 and above;New;13.02.2013;151;1;63;2;2;0;63.000000000000;63.000000000000
706;AW00011705;Brooke Richardson;Accessories;46;40-49;New;27.05.2013;148;1;42;3;3;0;42.000000000000;42.000000000000
708;AW00011707;Natalie Cook;Accessories;56;50 and above;New;24.05.2013;148;1;77;2;2;0;77.000000000000;77.000000000000
710;AW00011709;Hailey Collins;Accessories;57;50 and above;New;14.10.2013;143;4;231;10;7;7;57.750000000000;33.000000000000
715;AW00011714;Alexandria Long;Clothing;57;50 and above;New;18.02.2013;151;1;54;1;1;0;54.000000000000;54.000000000000
721;AW00011720;Morgan Morris;Accessories;60;50 and above;New;17.05.2013;148;1;55;4;4;0;55.000000000000;55.000000000000
721;AW00011720;Morgan Morris;Clothing;60;50 and above;New;24.07.2013;146;2;63;2;2;2;31.500000000000;31.500000000000
723;AW00011722;Julian Hughes;Accessories;60;50 and above;New;09.11.2013;142;1;75;3;3;0;75.000000000000;75.000000000000
727;AW00011726;Micah Liang;Accessories;52;50 and above;New;07.12.2013;141;1;97;4;4;0;97.000000000000;97.000000000000
728;AW00011727;Benjamin Taylor;Bikes;52;50 and above;VIP;04.05.2013;148;2;5898;2;2;19;2949.000000000000;310.421052631578
730;AW00011729;Caleb Campbell;Accessories;54;50 and above;New;11.01.2014;140;2;110;4;4;6;55.000000000000;18.333333333333
740;AW00011739;Aaron King;Accessories;61;50 and above;New;16.04.2013;149;2;54;4;4;3;27.000000000000;18.000000000000
748;AW00011747;Destiny Davis;Clothing;62;50 and above;New;07.08.2013;145;1;54;1;1;0;54.000000000000;54.000000000000
758;AW00011757;Vincent Cai;Accessories;46;40-49;New;27.11.2013;142;2;33;4;3;4;16.500000000000;8.250000000000
758;AW00011757;Vincent Cai;Clothing;46;40-49;New;23.02.2013;151;1;24;1;1;0;24.000000000000;24.000000000000
763;AW00011762;Randall Gomez;Accessories;41;40-49;New;12.03.2013;150;1;70;3;3;0;70.000000000000;70.000000000000
764;AW00011763;Ross Fernandez;Clothing;53;50 and above;New;30.01.2013;152;1;24;1;1;0;24.000000000000;24.000000000000
769;AW00011768;Clayton Nara;Accessories;42;40-49;New;14.07.2013;146;1;35;1;1;0;35.000000000000;35.000000000000
770;AW00011769;Haley Hernandez;Clothing;46;40-49;New;28.08.2013;145;3;167;4;4;4;55.666666666666;41.750000000000
774;AW00011773;Gavin Diaz;Clothing;46;40-49;New;30.04.2013;149;1;64;1;1;0;64.000000000000;64.000000000000
777;AW00011776;Seth Mitchell;Accessories;47;40-49;New;03.06.2013;147;1;181;2;2;0;181.000000000000;181.000000000000
781;AW00011780;Jessica Alexander;Accessories;48;40-49;New;18.06.2013;147;1;75;3;3;0;75.000000000000;75.000000000000
786;AW00011785;Theodore Diaz;Accessories;42;40-49;New;31.08.2013;145;2;75;3;3;4;37.500000000000;18.750000000000
796;AW00011795;Nicole Thomas;Accessories;51;50 and above;New;25.11.2013;142;2;75;3;3;4;37.500000000000;18.750000000000
800;AW00011799;Jessie Wang;Accessories;45;40-49;New;09.06.2013;147;1;23;3;3;0;23.000000000000;23.000000000000
800;AW00011799;Jessie Wang;Bikes;45;40-49;VIP;09.06.2013;147;2;5898;2;2;20;2949.000000000000;294.900000000000
803;AW00011802;Madison Taylor;Clothing;48;40-49;New;14.03.2013;150;2;88;3;3;1;44.000000000000;88.000000000000
809;AW00011808;James Parker;Clothing;51;50 and above;New;16.04.2013;149;1;94;2;2;0;94.000000000000;94.000000000000
811;AW00011810;Antonio Washington;Bikes;47;40-49;VIP;24.06.2013;147;2;5898;2;2;20;2949.000000000000;294.900000000000
817;AW00011816;Joe Torres;Accessories;44;40-49;New;20.02.2013;151;1;35;1;1;0;35.000000000000;35.000000000000
819;AW00011818;Daniel Garcia;Bikes;50;50 and above;VIP;30.01.2013;152;2;5873;2;2;15;2936.500000000000;391.533333333333
820;AW00011819;Jose Lal;Clothing;52;50 and above;New;16.01.2014;140;1;54;1;1;0;54.000000000000;54.000000000000
821;AW00011820;Katelyn Lopez;Clothing;48;40-49;New;21.08.2013;145;1;70;1;1;0;70.000000000000;70.000000000000
824;AW00011823;Morgan Turner;Accessories;48;40-49;New;23.01.2014;140;5;245;14;10;8;49.000000000000;30.625000000000
825;AW00011824;Jill Martin;Accessories;48;40-49;New;09.01.2014;140;5;162;9;8;10;32.400000000000;16.200000000000
825;AW00011824;Jill Martin;Clothing;48;40-49;New;09.01.2014;140;2;78;2;2;4;39.000000000000;19.500000000000
834;AW00011833;Oscar Price;Clothing;43;40-49;New;23.09.2013;144;3;83;3;3;3;27.666666666666;27.666666666666
836;AW00011835;Elijah Russell;Accessories;55;50 and above;New;18.05.2013;148;2;93;5;5;4;46.500000000000;23.250000000000
839;AW00011838;Justin Rodriguez;Accessories;55;50 and above;New;28.08.2013;145;2;85;5;5;3;42.500000000000;28.333333333333
840;AW00011839;Tyler Brown;Bikes;49;40-49;VIP;12.06.2013;147;2;5898;2;2;20;2949.000000000000;294.900000000000
843;AW00011842;Justin Wilson;Clothing;55;50 and above;New;04.12.2013;141;1;59;2;2;0;59.000000000000;59.000000000000
845;AW00011844;Michele Alvarez;Clothing;56;50 and above;New;05.10.2013;143;1;50;1;1;0;50.000000000000;50.000000000000
863;AW00011862;Olivia Peterson;Accessories;53;50 and above;New;23.10.2013;143;2;209;5;5;5;104.500000000000;41.800000000000
864;AW00011863;Jessica Wood;Accessories;58;50 and above;New;04.09.2013;144;2;48;3;3;0;24.000000000000;48.000000000000
866;AW00011865;Chloe Rivera;Clothing;59;50 and above;New;17.02.2013;151;1;50;1;1;0;50.000000000000;50.000000000000
877;AW00011876;Madison White;Accessories;59;50 and above;New;24.09.2013;144;2;83;4;4;3;41.500000000000;27.666666666666
882;AW00011881;Richard Mitchell;Accessories;60;50 and above;New;17.12.2013;141;2;85;6;6;0;42.500000000000;85.000000000000
883;AW00011882;Patrick Stewart;Accessories;50;50 and above;New;12.07.2013;146;2;48;3;3;5;24.000000000000;9.600000000000
884;AW00011883;Hannah Anderson;Accessories;60;50 and above;New;14.11.2013;142;2;77;4;4;9;38.500000000000;8.555555555555
887;AW00011886;Katelyn Parker;Bikes;62;50 and above;VIP;17.06.2013;147;2;5873;2;2;20;2936.500000000000;293.650000000000
897;AW00011896;Frank Carlson;Accessories;50;50 and above;New;11.07.2013;146;2;39;3;3;4;19.500000000000;9.750000000000
898;AW00011897;Orlando Ashe;Bikes;51;50 and above;VIP;14.10.2013;143;3;8079;3;3;26;2693.000000000000;310.730769230769
898;AW00011897;Orlando Ashe;Clothing;51;50 and above;New;14.10.2013;143;1;54;1;1;0;54.000000000000;54.000000000000
904;AW00011903;Kate Raji;Clothing;40;40-49;New;13.07.2013;146;1;54;1;1;0;54.000000000000;54.000000000000
907;AW00011906;Gabriella Sanders;Accessories;53;50 and above;New;17.03.2013;150;1;72;4;4;0;72.000000000000;72.000000000000
909;AW00011908;Rafael Tang;Bikes;53;50 and above;VIP;23.08.2013;145;3;8079;3;3;23;2693.000000000000;351.260869565217
911;AW00011910;Jaclyn Zheng;Bikes;54;50 and above;VIP;03.08.2013;145;3;8079;3;3;22;2693.000000000000;367.227272727272
915;AW00011914;Meagan Rana;Accessories;46;40-49;New;23.08.2013;145;2;112;5;5;5;56.000000000000;22.400000000000
919;AW00011918;Kaylee Hill;Clothing;56;50 and above;New;25.11.2013;142;1;9;1;1;0;9.000000000000;9.000000000000
928;AW00011927;Nicole Murphy;Accessories;41;40-49;New;28.01.2014;140;2;43;2;2;0;21.500000000000;43.000000000000
938;AW00011937;Devin Perez;Accessories;43;40-49;New;02.07.2013;146;1;15;2;2;0;15.000000000000;15.000000000000
945;AW00011944;Rachael Rodriguez;Accessories;69;50 and above;New;20.12.2013;141;2;119;6;5;10;59.500000000000;11.900000000000
